Item;Condition;Familiarity;Compositionality;Predictability;Register;Spelling;Pin_yin;Ur_Pinyin;Fig_Transl;Lit_Transl;Last_char;Strokes;StrokeDiff
47;diffT;4.667;NA;1;NA;若隐若贤;ruo4 yin3 ruo4 xian2;NA;NA;like hide like worthy;贤;8;0
47;sameT;4.667;NA;1;NA;若隐若限;ruo4 yin3 ruo4 xian4;NA;NA;like hide like limit;限;8;0
47;noP;4.667;NA;1;NA;若隐若侈;ruo4 yin3 ruo4 chi3;NA;NA;like hide like extravagant;侈;8;0
48;corr;4.910;4.305;1;0.926;见义勇为;jian4 yi4 yong3 wei2;jiàn yì yǒng wéi;to be brave;see justice brave act;为;4;NA
48;diffT;4.910;NA;1;NA;见义勇未;jian4 yi4 yong3 wei4;NA;NA;see justice brave not_yet;未;5;1
48;sameT;4.910;NA;1;NA;见义勇韦;jian4 yi4 yong3 wei2;NA;NA;see justice brave leather;韦;4;0
48;noP;4.910;NA;1;NA;见义勇礼;jian4 yi4 yong3 li3;NA;NA;see justice brave gift;礼;5;1
49;corr;4.632;4.439;0.867;0.704;谈天说地;tan2 tian1 shuo1 di4;tán tiān shuō dì;talk of everything;say sky say earth;地;6;NA
49;diffT;4.632;NA;0.867;NA;谈天说邸;tan2 tian1 shuo1 di3;NA;NA;say sky say residence;邸;7;1
49;sameT;4.632;NA;0.867;NA;谈天说弟;tan2 tian1 shuo1 di4;NA;NA;say sky say little brother;弟;7;1
49;noP;4.632;NA;0.867;NA;谈天说时;tan2 tian1 shuo1 shi2;NA;NA;say sky say hour;时;7;1
50;corr;4.739;4.784;1;0.852;赏心悦目;shang3 xin1 yue4 mu4;shǎng xīn yuè mù;nice to hear;appreciate heart return eye;目;5;NA
50;diffT;4.739;NA;1;NA;赏心悦母;shang3 xin1 yue4 mu3;NA;NA;appreciate heart return mother;母;5;0
50;sameT;4.739;NA;1;NA;赏心悦木;shang3 xin1 yue4 mu4;NA;NA;appreciate heart return tree;木;4;-1
50;noP;4.739;NA;1;NA;赏心悦仪;shang3 xin1 yue4 yi2;NA;NA;appreciate heart return ceremony;仪;5;0
51;corr;4.621;4.109;1;0.704;铺天盖地;pu1 tian1 gai4 di4;pū tiān gài dì;spread everywhere;spread sky cover soil;地;6;NA
51;diffT;4.621;NA;1;NA;铺天盖籴;pu1 tian1 gai4 di3;NA;NA;spread sky cover buy grain;籴;8;2
51;sameT;4.621;NA;1;NA;铺天盖帝;pu1 tian1 gai4 di4;NA;NA;spread sky cover emperor;帝;9;3
